tsne_1,tsne_2,kmeans_label
-62.70659,32.53512,6
-81.18759,-11.668303,6
-52.266525,9.686669,5
-8.80238,-17.886703,4
46.017387,-55.284676,5
-39.585808,-28.968355,5
16.616505,69.35899,2
36.698483,6.898113,4
-69.34907,-42.06512,5
-87.07045,28.362865,1
-23.105886,14.62356,2
15.1459255,-35.109196,5
66.291504,-3.6319618,3
41.166203,40.523743,3
20.055779,-24.96564,5
53.00999,-45.07968,5
-63.23233,33.648075,6
-69.210495,-4.500681,6
-25.112177,12.096818,2
-18.142221,-85.863464,0
-54.73674,35.266315,6
25.855225,-18.216156,5
10.815108,11.258446,4
-84.3029,12.380539,1
-70.05174,-7.0376763,6
55.30803,-37.87676,5
-86.47359,21.234644,1
-49.862656,10.121963,5
49.93254,-26.361174,5
57.238712,27.267427,4
-22.759056,48.455692,2
51.97789,-48.464962,5
-30.748442,29.56175,4
-11.434695,26.033611,4
-58.210423,-57.467617,5
-56.89066,68.2759,1
30.332436,-42.19248,5
-31.587624,63.87594,1
48.370842,66.86209,3
27.805212,7.1934133,4
20.108845,-30.938513,5
43.727573,-18.345095,5
-16.527842,-88.43859,0
13.885997,3.1574075,4
36.596428,18.685055,4
12.345667,16.80309,4
-11.298329,-47.666668,0
40.37216,-25.08411,5
-59.03705,-22.130676,4
-67.85399,-46.055565,5
28.283808,-33.427753,5
-59.9532,-49.146202,5
26.552504,-78.613815,5
-11.28809,6.088565,4
-68.57098,-44.779343,5
8.067212,69.92994,2
5.3762236,74.88839,2
-37.381733,-45.81188,5
-47.919,18.826853,5
-21.733723,-38.894184,0
48.445488,5.119704,4
-5.7344694,14.521141,2
44.24071,-53.731403,5
-24.215277,-60.14897,0
21.511475,-86.54302,5
43.648262,69.9908,3
6.3532085,38.206078,4
-58.52213,-52.75335,5
17.633173,77.76806,2
-8.149772,-28.057503,4
18.850534,88.99655,2
-17.961206,-3.7031617,2
33.12059,6.6567245,4
-28.159735,30.009771,4
16.726456,78.19656,2
23.313791,75.64141,2
-21.213469,-18.717556,4
-44.801064,-9.509481,4
-39.55203,13.854838,5
68.005905,49.95098,3
6.491822,38.720375,4
47.901325,4.9592476,4
26.484812,-21.533463,5
-75.50096,-10.090582,6
-57.03455,-58.390522,5
-101.79103,0.015053397,6
-35.818443,67.47135,1
-27.239702,33.86925,4
7.7111726,36.08275,4
-36.267387,-44.251602,5
-40.215996,11.588285,5
-8.588301,65.26861,4
-65.88141,-48.187424,5
-39.565643,-8.876211,4
-19.611326,-17.843077,4
21.476053,-84.96946,5
35.94491,-42.430855,5
-20.21089,-61.2787,0
-36.196735,-42.839794,5
47.38962,-48.74992,5
22.74864,-75.39602,5
-79.116745,-12.542647,6
-68.442825,45.729626,6
-58.24204,-57.898212,5
50.272987,5.379755,4
17.11336,78.28226,2
-86.41916,13.724848,1
40.888065,9.875922,4
-54.31788,34.241962,6
26.398533,-79.07828,5
-16.825106,-3.872446,2
56.207603,-34.277092,5
-8.411875,50.85486,4
37.331776,18.30387,4
23.291454,-69.17052,5
-45.622967,12.508939,5
21.856894,-38.81017,5
10.962498,35.397717,4
-1.4537444,27.443405,4
-33.14358,35.568367,4
79.975174,2.4679477,3
-57.327755,63.48657,1
29.74325,-4.451328,4
100.64653,20.621206,4
13.508778,14.002235,4
-27.279541,32.8191,4
46.46493,-21.424953,5
70.046074,-7.195549,3
5.630175,-9.091682,4
-22.341454,13.1756,2
46.175125,2.07268,4
26.896065,-86.54588,5
-43.9555,-33.555832,5
46.46967,-33.39434,5
4.103334,-8.073952,4
-55.86559,34.27952,6
25.305185,1.6305944,4
29.791327,-3.7245333,4
-18.07086,-2.7070262,2
3.51641,69.79659,2
8.2176895,70.56428,2
6.705429,39.489952,4
-42.159702,-42.740368,5
-1.9445869,-29.592022,4
2.959502,-8.4512415,4
-0.8688673,4.6214986,4
20.67126,-45.82578,5
15.200598,-39.814205,5
24.56128,41.337635,4
50.92442,4.722084,4
-2.5614533,14.954773,2
24.761087,-22.308605,5
-50.707783,11.561866,5
15.592525,87.99961,2
-28.585005,-63.365288,0
-29.299007,66.977554,1
-42.798058,15.951515,5
62.599487,24.373781,4
53.106617,-42.855003,5
2.135097,-65.29646,5
-18.676727,75.113304,1
23.396078,42.047035,4
-58.04165,37.099556,6
-57.699112,-52.375805,5
-20.102892,-0.89002925,2
43.322163,67.25853,3
-64.85076,-42.873775,5
-19.785944,76.287155,1
4.039961,-18.01857,4
-43.89017,-11.749569,4
-10.12022,-46.697914,0
-1.9744309,-66.47228,5
-23.659582,-83.461136,0
12.014754,5.3492575,4
23.368544,44.402897,4
20.48327,43.55258,4
-58.236443,28.363638,6
-44.15356,15.57359,5
-50.1826,11.372979,5
-37.903458,-30.420246,5
18.972832,36.89837,4
-40.202415,11.002472,5
-26.469513,-12.391272,4
37.226265,-33.289745,5
65.90194,-6.7601824,3
-36.62371,-31.076653,5
-13.955981,-87.88889,0
-31.673094,87.97965,1
-35.87395,-30.580837,5
51.764076,39.756153,3
-23.834728,70.974724,1
-43.67806,-11.642006,4
5.537804,75.34362,2
10.729528,87.03862,2
-7.532934,-4.142218,2
2.7674398,-8.612851,4
-12.971616,92.07527,4
-12.259675,8.013594,4
-83.37651,-14.415977,6
12.480451,35.452263,4
-57.873272,30.67538,6
61.949997,18.825233,4
75.60256,30.9621,2
-13.149706,-98.009605,0
-39.587116,-29.32472,5
48.711872,-18.536793,5
77.05542,-26.97318,5
12.193319,7.863052,4
49.869816,-49.526157,5
3.9005268,70.15947,2
-11.786927,6.456175,4
-72.76191,-3.2609901,6
21.3056,-86.67233,5
-63.95465,37.070396,6
15.421541,-33.34238,5
45.294006,-54.791836,5
52.35978,-40.49984,5
-30.17832,66.19151,1
-8.947441,-8.665739,2
9.357695,84.67891,2
1.4098502,-60.334877,5
3.4147441,-17.643621,4
60.97183,20.4873,4
-35.209118,63.010944,1
86.86523,-22.380297,5
10.768168,86.74881,2
45.202732,40.13647,3
3.8688483,-74.71613,5
-32.51574,87.63017,1
29.445759,-34.542233,5
-26.155674,47.303406,2
-19.990324,-38.917828,0
26.714941,77.27279,2
27.221903,-79.97153,5
11.353606,46.808815,4
