umap_1,umap_2,kmeans_label
-8.817191,12.3010435,4
-8.858379,13.067769,4
4.9293604,-1.7413719,5
-4.676629,-2.531212,6
-8.122854,8.273701,5
3.2680557,16.863192,4
-4.646752,-2.3182657,6
-1.1511824,-11.492827,0
6.8600507,17.504745,4
2.0316207,9.360622,2
-10.654987,2.7780485,4
17.358456,10.834812,4
6.2088785,4.167941,5
-8.032595,18.124643,4
2.6862724,-10.578998,0
-6.823518,-8.053124,0
17.747417,10.134627,4
1.1676999,29.141647,4
-0.036007054,14.326196,4
13.57106,4.2016315,5
-6.2782865,-11.690573,0
6.5925007,-1.10897,5
17.650148,-5.7908735,5
-7.8729467,8.758098,5
8.724295,14.976127,4
3.6691408,-2.0958784,5
19.300835,-5.3618574,5
-1.0139534,21.076698,5
4.4226933,-0.84464335,5
3.232826,-1.6081368,5
-4.2488365,-1.2420465,6
8.392067,5.9845386,4
0.65133584,5.90639,2
17.77412,-5.342895,5
-8.043937,12.574336,5
6.509445,-1.541805,5
3.7691667,0.096816406,5
8.352625,5.9762893,4
19.873161,-0.24429621,4
0.22452375,6.3197136,2
11.00881,21.961767,2
-5.3818583,-1.9266686,6
0.0026609297,19.930569,5
7.0492887,5.1085596,4
19.769098,-0.6085276,4
7.8037887,7.3122287,4
10.603343,-8.619111,3
0.2815714,6.264411,2
3.5067854,-0.10598962,5
8.102664,6.865837,4
8.736586,14.988629,4
-5.55877,5.599873,5
-1.5121344,2.899501,1
-11.94909,17.55326,4
-12.686727,1.6654934,2
23.226633,2.6842952,2
13.316879,16.872183,3
13.61355,-0.17675133,4
-4.413742,24.26975,2
3.866325,24.08878,5
-8.140313,18.609608,4
-6.1729646,-2.08114,6
5.5652437,0.12421497,5
17.392046,-5.928768,5
-9.095547,12.887856,4
-4.158581,6.299933,5
5.348617,13.289611,3
-5.385244,-2.0589693,6
6.8644285,17.829348,4
3.47581,-0.19130537,5
13.482244,-0.18320578,4
6.3921475,5.505607,4
9.064506,15.31602,4
